id_distributor,id_cabang,id_invoice,tanggal,id_customer,id_barang,jumlah_barang,unit,harga,mata_uang,brand_id,lini,level,nama,id_cabang_sales,cabang_sales,id_group,group,sektor,nama_barang,tipe,nama_tipe,kode_lini,kemasan
TD,CAB01,IN5997,"2022-01-20 00:00:00",CUST55380,BRG0001,1,DUS,1169.91,IDR,BRND001,"OGB & PH",Company,"APOTEK TAPAK",CAB01,Aceh,Z32,Apotek,P,"ACYCLOVIR DUS",ZPJ1,"Produk jadi",206,DUS
TD,CAB01,IN6297,"2022-01-20 00:00:00",CUST55381,BRG0002,5,DUS,2337.5,IDR,BRND002,ETIKAL,Company,"APOTEK MAJA",CAB02,Kuningan,Z32,Apotek,P,"ALERGINE TABLET SALUT",ZPJ1,"Produk jadi",203,DUS
TA,CAB02,IN6155,"2022-01-21 00:00:00",CUST55382,BRG0003,9,DUS,10690.6,IDR,BRND003,MARCKS,Company,"KLINIK GM",CAB03,Jakarta,Z31,Klinik,P,AMPICILLIN,ZPJ1,"Produk jadi",210,BOTOL
EPM,CAB03,IN6144,"2022-01-22 00:00:00",CUST55383,BRG0004,13,DUS,8700.7,IDR,BRND004,VNS,Company,"APOTEK MERDEKA",CAB04,Bandung,Z32,Apotek,P,"TRAMADOL KAPSUL 50 MG",ZPJ1,"Produk jadi",201,KAPSUL
TD,CAB04,IN6280,"2022-01-23 00:00:00",CUST55384,BRG0005,1,DUS,5648.3,IDR,BRND005,SLCYL,Company,"KLINIK SAHABAT",CAB05,Tangerang,Z31,Klinik,P,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",ZPJ1,"Produk jadi",203,TABLET
TA,CAB05,IN6052,"2022-01-23 00:00:00",CUST55385,BRG0006,5,DUS,2819.2,IDR,BRND006,"OGB & PH",Company,"APOTEK SINAR JAYA",CAB06,Bekasi,Z32,Apotek,P,"KETOCONAZOLE TABLET 200 MG",ZPJ1,"Produk jadi",205,TABLET
EPM,CAB06,IN6089,"2022-01-25 00:00:00",CUST55386,BRG0007,9,DUS,4592.1,IDR,BRND007,ETIKAL,Company,"APOTEK SAHABAT",CAB07,Padang,Z32,Apotek,P,"ERGOTAMINE COFFEINE",ZPJ1,"Produk jadi",206,BOTOL
TD,CAB07,IN6251,"2022-01-23 00:00:00",CUST55387,BRG0008,1,DUS,3991.9,IDR,BRND008,MARCKS,Company,"APOTEK TAPAK",CAB01,Aceh,Z32,Apotek,P,"TETRACYCLINE KAPSUL 250 MG",ZPJ1,"Produk jadi",204,KAPSUL
TA,CAB08,IN6036,"2022-01-27 00:00:00",CUST55388,BRG0009,23,DUS,5780.7,IDR,BRND009,VNS,Company,"APOTEK MAJA",CAB02,Kuningan,Z32,Apotek,P,"AMBROXOL HC",ZPJ1,"Produk jadi",207,BOTOL
EPM,CAB09,IN6029,"2022-01-28 00:00:00",CUST55389,BRG0010,4,DUS,6940.3,IDR,BRND010,SLCYL,Company,"KLINIK GM",CAB03,Jakarta,Z31,Klinik,P,PARACETAMOL,ZPJ1,"Produk jadi",208,BOTOL
TD,CAB10,IN6190,"2022-01-23 00:00:00",CUST55390,BRG0001,2,DUS,1169.91,IDR,BRND001,"OGB & PH",Company,"APOTEK MERDEKA",CAB04,Bandung,Z32,Apotek,P,"ACYCLOVIR DUS",ZPJ1,"Produk jadi",206,DUS
TD,CAB01,IN6287,"2022-01-30 00:00:00",CUST55391,BRG0002,17,DUS,2337.5,IDR,BRND002,ETIKAL,Company,"KLINIK SAHABAT",CAB05,Tangerang,Z31,Klinik,P,"ALERGINE TABLET SALUT",ZPJ1,"Produk jadi",203,DUS
TA,CAB01,IN6102,"2022-01-31 00:00:00",CUST55392,BRG0003,11,DUS,10690.6,IDR,BRND003,MARCKS,Company,"APOTEK SINAR JAYA",CAB06,Bekasi,Z32,Apotek,P,AMPICILLIN,ZPJ1,"Produk jadi",210,BOTOL
EPM,CAB02,IN6301,"2022-02-01 00:00:00",CUST55393,BRG0004,12,DUS,8700.7,IDR,BRND004,VNS,Company,"APOTEK SAHABAT",CAB07,Padang,Z32,Apotek,P,"TRAMADOL KAPSUL 50 MG",ZPJ1,"Produk jadi",201,KAPSUL
TD,CAB03,IN6024,"2022-01-27 00:00:00",CUST55394,BRG0005,12,DUS,5648.3,IDR,BRND005,SLCYL,Company,"KLINIK DR. ANDRI",CAB08,Lampung,Z31,Klinik,P,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",ZPJ1,"Produk jadi",203,TABLET
TA,CAB04,IN6184,"2022-01-28 00:00:00",CUST55395,BRG0006,25,DUS,2819.2,IDR,BRND006,"OGB & PH",Company,"APOTEK TAPAK",CAB01,Aceh,Z32,Apotek,P,"KETOCONAZOLE TABLET 200 MG",ZPJ1,"Produk jadi",205,TABLET
EPM,CAB05,IN6307,"2022-01-23 00:00:00",CUST55396,BRG0007,14,DUS,4592.1,IDR,BRND007,ETIKAL,Company,"APOTEK MAJA",CAB02,Kuningan,Z32,Apotek,P,"ERGOTAMINE COFFEINE",ZPJ1,"Produk jadi",206,BOTOL
TD,CAB06,IN6245,"2022-01-30 00:00:00",CUST55397,BRG0008,34,DUS,3991.9,IDR,BRND008,MARCKS,Company,"KLINIK GM",CAB03,Jakarta,Z31,Klinik,P,"TETRACYCLINE KAPSUL 250 MG",ZPJ1,"Produk jadi",204,KAPSUL
TA,CAB07,IN6195,"2022-01-31 00:00:00",CUST55398,BRG0009,67,DUS,5780.7,IDR,BRND009,VNS,Company,"APOTEK MERDEKA",CAB04,Bandung,Z32,Apotek,P,"AMBROXOL HC",ZPJ1,"Produk jadi",207,BOTOL
EPM,CAB08,IN6023,"2022-02-01 00:00:00",CUST55399,BRG0010,15,DUS,6940.3,IDR,BRND010,SLCYL,Company,"KLINIK SAHABAT",CAB05,Tangerang,Z31,Klinik,P,PARACETAMOL,ZPJ1,"Produk jadi",208,BOTOL
TD,CAB09,IN6113,"2022-01-27 00:00:00",CUST55400,BRG0001,12,DUS,1169.91,IDR,BRND001,"OGB & PH",Company,"APOTEK SINAR JAYA",CAB06,Bekasi,Z32,Apotek,P,"ACYCLOVIR DUS",ZPJ1,"Produk jadi",206,DUS
TD,CAB10,IN6141,"2022-01-28 00:00:00",CUST55401,BRG0002,25,DUS,2337.5,IDR,BRND002,ETIKAL,Company,"APOTEK SAHABAT",CAB07,Padang,Z32,Apotek,P,"ALERGINE TABLET SALUT",ZPJ1,"Produk jadi",203,DUS
TA,CAB01,IN6125,"2022-01-23 00:00:00",CUST55402,BRG0003,14,DUS,10690.6,IDR,BRND003,MARCKS,Company,"APOTEK TAPAK",CAB01,Aceh,Z32,Apotek,P,AMPICILLIN,ZPJ1,"Produk jadi",210,BOTOL
EPM,CAB01,IN6176,"2022-01-30 00:00:00",CUST55403,BRG0004,18,DUS,8700.7,IDR,BRND004,VNS,Company,"APOTEK MAJA",CAB02,Kuningan,Z32,Apotek,P,"TRAMADOL KAPSUL 50 MG",ZPJ1,"Produk jadi",201,KAPSUL
TD,CAB02,IN6175,"2022-01-31 00:00:00",CUST55404,BRG0005,18,DUS,5648.3,IDR,BRND005,SLCYL,Company,"KLINIK GM",CAB03,Jakarta,Z31,Klinik,P,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",ZPJ1,"Produk jadi",203,TABLET
TA,CAB03,IN6259,"2022-02-01 00:00:00",CUST55405,BRG0006,19,DUS,2819.2,IDR,BRND006,"OGB & PH",Company,"APOTEK MERDEKA",CAB04,Bandung,Z32,Apotek,P,"KETOCONAZOLE TABLET 200 MG",ZPJ1,"Produk jadi",205,TABLET
EPM,CAB01,IN6173,"2022-01-27 00:00:00",CUST55406,BRG0001,12,DUS,4592.1,IDR,BRND007,ETIKAL,Company,"KLINIK SAHABAT",CAB05,Tangerang,Z31,Klinik,P,"ACYCLOVIR DUS",ZPJ1,"Produk jadi",206,DUS
TD,CAB01,IN6013,"2022-01-28 00:00:00",CUST55407,BRG0002,25,DUS,3991.9,IDR,BRND008,MARCKS,Company,"APOTEK SINAR JAYA",CAB06,Bekasi,Z32,Apotek,P,"ALERGINE TABLET SALUT",ZPJ1,"Produk jadi",203,DUS
TD,CAB02,IN6086,"2022-01-23 00:00:00",CUST55408,BRG0003,14,DUS,5780.7,IDR,BRND009,VNS,Company,"APOTEK SAHABAT",CAB07,Padang,Z32,Apotek,P,AMPICILLIN,ZPJ1,"Produk jadi",210,BOTOL
TA,CAB03,IN6108,"2022-01-30 00:00:00",CUST55409,BRG0004,21,DUS,6940.3,IDR,BRND010,SLCYL,Company,"KLINIK DR. ANDRI",CAB08,Lampung,Z31,Klinik,P,"TRAMADOL KAPSUL 50 MG",ZPJ1,"Produk jadi",201,KAPSUL
EPM,CAB04,IN6321,"2022-01-31 00:00:00",CUST55410,BRG0001,22,DUS,1169.91,IDR,BRND001,"OGB & PH",Company,"APOTEK TAPAK",CAB01,Aceh,Z32,Apotek,P,"ACYCLOVIR DUS",ZPJ1,"Produk jadi",206,DUS
TD,CAB05,IN5994,"2022-02-01 00:00:00",CUST55411,BRG0002,12,DUS,2337.5,IDR,BRND002,ETIKAL,Company,"APOTEK MAJA",CAB02,Kuningan,Z32,Apotek,P,"ALERGINE TABLET SALUT",ZPJ1,"Produk jadi",203,DUS
